Detector,Defect,Method,F1,F1_std,F1_CI95,AUC,AUC_std,AUC_CI95,n_seeds
PCA,missing_20pct,linear_interp,0.7540593026292923,0.0019083212592763538,"[0.7529, 0.7551]",0.6511496277655446,0.008524241112491561,"[0.6462, 0.6561]",10
PCA,noise_5dB,linear_interp,0.7520581517265714,0.00016768672256925953,"[0.7520, 0.7521]",0.4984640872391736,0.012694859051975847,"[0.4909, 0.5058]",10
PCA,spikes_0.5pct,linear_interp,0.7521926435803944,0.0005605610576779093,"[0.7519, 0.7526]",0.49809059452658067,0.009000691216763107,"[0.4931, 0.5034]",10
PCA,missing_20pct,cubic_spline,0.752737797523688,0.0006941321019061143,"[0.7523, 0.7532]",0.5120937401698648,0.020140657507775602,"[0.4993, 0.5232]",10
PCA,noise_5dB,cubic_spline,0.7520581517265714,0.00016768672256925953,"[0.7520, 0.7521]",0.4984640872391736,0.012694859051975847,"[0.4909, 0.5058]",10
PCA,spikes_0.5pct,cubic_spline,0.7521926435803944,0.0005605610576779093,"[0.7519, 0.7526]",0.4980903848170285,0.009000886600833605,"[0.4931, 0.5034]",10
PCA,missing_20pct,moving_average,0.7811934079278483,0.003870178483584681,"[0.7789, 0.7833]",0.7112859389745203,0.003227021579123271,"[0.7094, 0.7132]",10
PCA,noise_5dB,moving_average,0.7521254633443315,0.0004544098121753255,"[0.7519, 0.7524]",0.4957458320226487,0.011642618686572978,"[0.4893, 0.5026]",10
PCA,spikes_0.5pct,moving_average,0.752226707248645,0.00032490905147139677,"[0.7521, 0.7524]",0.5249728426129809,0.009750526614863763,"[0.5194, 0.5306]",10
PCA,missing_20pct,wavelet_denoise,0.7545810605697771,0.0021212992468173987,"[0.7533, 0.7557]",0.6617384921883193,0.007002454949615548,"[0.6578, 0.6658]",10
PCA,noise_5dB,wavelet_denoise,0.7521135633788614,0.0003538271887675366,"[0.7519, 0.7524]",0.49090279962252287,0.016490741736791242,"[0.4811, 0.5011]",10
PCA,spikes_0.5pct,wavelet_denoise,0.7521927369205476,0.000425001005870402,"[0.7519, 0.7524]",0.49785320331341093,0.009553783483313502,"[0.4922, 0.5035]",10
PCA,missing_20pct,median_filter,0.7692805229490233,0.003954642889752097,"[0.7669, 0.7716]",0.7032249134948098,0.004118561516522507,"[0.7008, 0.7055]",10
PCA,noise_5dB,median_filter,0.7520688152933539,0.0002572120492626549,"[0.7519, 0.7522]",0.49666918318129394,0.01666140215330447,"[0.4869, 0.5062]",10
PCA,spikes_0.5pct,median_filter,0.7678864570119937,0.0007048813489741304,"[0.7675, 0.7683]",0.7098062283737023,0.00045785726455441016,"[0.7095, 0.7101]",10
PCA,missing_20pct,comprehensive,0.760630805062093,0.004834366087769048,"[0.7579, 0.7634]",0.6931116703365838,0.005641713245322342,"[0.6898, 0.6964]",10
PCA,noise_5dB,comprehensive,0.7521049665458804,0.0003484486229663281,"[0.7519, 0.7523]",0.49996078431372554,0.016044171626191237,"[0.4902, 0.5096]",10
PCA,spikes_0.5pct,comprehensive,0.789388420939419,0.0030257240809557855,"[0.7876, 0.7911]",0.7003030303030303,0.005924609490085319,"[0.6970, 0.7035]",10
AE,missing_20pct,moving_average,0.8192356086555754,0.02740223844811627,,0.7075981964978504,0.02768789749935533,,10
AE,spikes_0.5pct,moving_average,0.7575750088807737,0.005362631754229634,,0.6477311523539898,0.03367315109130246,,10
AE,missing_20pct,median_filter,0.8057487552247847,0.03199423785768862,,0.711934780329244,0.03583456908977711,,10
AE,spikes_0.5pct,median_filter,0.8061275751774616,0.020050392254914326,,0.7108933626926707,0.02122062161470721,,10
AE,missing_20pct,comprehensive,0.8087353872189544,0.021823479381726348,,0.7399679144385026,0.01487067593087671,,10
AE,spikes_0.5pct,comprehensive,0.7904677885468435,0.00297889597530629,,0.7007461465869771,0.008047694580715345,,10
