Detector,Condition,F1_fixed_clean,F1_fixed_std,F1_optimal_leaked,F1_leak_gap,AUC,n_seeds
PCA,baseline,0.5238493723849372,0.0,0.7518796992481204,0.22803032686318314,0.7243684596833384,10
PCA,missing_20pct,0.6958130520167034,0.008734172208429158,0.7543371304259863,0.058524078409282865,0.6183661528782636,10
PCA,noise_5dB,0.7518796992481204,0.0,0.7520581517265716,0.0001784524784512742,0.4984640872391736,10
PCA,spikes_0.5pct,0.7518796992481204,0.0,0.7521926435803944,0.0003129443322740233,0.4980903848170285,10
PCA,drift,0.42230274526025113,0.0129120935497172,0.7518796992481204,0.32957695398786924,0.3650940547341931,10
IsolationForest,baseline,0.18473762005326028,0.010839389790111566,0.8173465763348842,0.632608956281624,0.6842434727901856,10
IsolationForest,missing_20pct,0.21034405530278194,0.012455752893510738,0.8095448094903481,0.5992007541875661,0.6820044039005977,10
IsolationForest,noise_5dB,0.7518796992481204,0.0,0.7530375370271472,0.0011578377790267824,0.6257746670860858,10
IsolationForest,spikes_0.5pct,0.7504313288920146,0.0031282092416549906,0.7530716578363486,0.0026403289443339695,0.6138146167557932,10
IsolationForest,drift,0.1808302072325281,0.010457020789113721,0.7778876796676153,0.5970574724350872,0.5890061864317919,10
OneClassSVM,baseline,0.7738693467336685,1.1702778228589004e-16,0.7840103159252096,0.010140969191541171,0.744705882352941,10
OneClassSVM,missing_20pct,0.7640463301952672,0.006582944607819146,0.7806083559459377,0.01656202575067045,0.7082092901331656,10
OneClassSVM,noise_5dB,0.7518796992481204,0.0,0.7518796992481204,0.0,0.5,10
OneClassSVM,spikes_0.5pct,0.7518796992481204,0.0,0.7521250742622747,0.0002453750141543365,0.5001597986788298,10
OneClassSVM,drift,0.7270170065591746,0.0011995028141410032,0.7573617928574278,0.030344786298253212,0.6490711963929957,10
DenseAE,baseline,0.641774400477778,0.045938246639520654,0.8322237200192253,0.19044931954144728,0.8081830764391318,10
DenseAE,missing_20pct,0.677433811827447,0.018679837442861214,0.8081284813892777,0.13069466956183073,0.7071208975568837,10
DenseAE,noise_5dB,0.7518796992481204,0.0,0.752124807635383,0.00024510838726266027,0.4993931005557303,10
DenseAE,spikes_0.5pct,0.7518796992481204,0.0,0.752069750098482,0.00019005085036161162,0.49936332179930787,10
DenseAE,drift,0.5977276429482906,0.04050333011010941,0.7583861625761086,0.16065851962781796,0.648867148998637,10
LSTM_AE,baseline,0.8006308284688657,0.0501850121271967,0.8515824338316872,0.050951605362821506,0.872944951242529,5
LSTM_AE,missing_20pct,0.8006494853579833,0.05105824375241897,0.8523707830614272,0.051721297703443914,0.8712010066058509,5
LSTM_AE,noise_5dB,0.7518796992481204,0.0,0.7524823157950042,0.0006026165468838718,0.54420970955227,5
