window_threshold,Condition,F1_fixed,F1_std,AUC,AUC_std
0.2,baseline,0.5238493723849372,0.0,0.7243682499737861,1.1702778228589004e-16
0.2,missing_20pct,0.6958130520167034,0.008734172208429158,0.6183661528782636,0.012502664971978841
0.2,noise_5dB,0.7518796992481204,0.0,0.49846429694872596,0.012695142841642136
0.2,spikes_0.5pct,0.7518796992481204,0.0,0.49809017510747616,0.009001109444626646
0.2,drift,0.42230274526025113,0.0129120935497172,0.36509426444374543,0.027525025730415306
0.3,baseline,0.5238493723849372,0.0,0.7243682499737861,1.1702778228589004e-16
0.3,missing_20pct,0.6958130520167034,0.008734172208429158,0.6183661528782636,0.012502664971978841
0.3,noise_5dB,0.7518796992481204,0.0,0.4984640872391736,0.012694859051975847
0.3,spikes_0.5pct,0.7518796992481204,0.0,0.49809059452658067,0.00900096955614355
0.3,drift,0.42230274526025113,0.0129120935497172,0.36509405473419315,0.02752462315939303
0.4,baseline,0.5238493723849372,0.0,0.7243684596833384,6.631598322959784e-07
0.4,missing_20pct,0.6958130520167034,0.008734172208429158,0.6183661528782636,0.012502664971978841
0.4,noise_5dB,0.7518796992481204,0.0,0.49846429694872596,0.012695142841642136
0.4,spikes_0.5pct,0.7518796992481204,0.0,0.4980903848170285,0.009000634046732386
0.4,drift,0.42230274526025113,0.0129120935497172,0.36509447415329765,0.02752483348941084
0.5,baseline,0.5238493723849372,0.0,0.7243684596833384,6.631598322959784e-07
0.5,missing_20pct,0.6958130520167034,0.008734172208429158,0.6183663625878159,0.012502676679378481
0.5,noise_5dB,0.7518796992481204,0.0,0.49846429694872596,0.012694505110949626
0.5,spikes_0.5pct,0.7518796992481204,0.0,0.49809059452658067,0.00900096955614355
0.5,drift,0.42230274526025113,0.0129120935497172,0.36509426444374543,0.027525025730415306
